lowest_taxon,class,order,family,genus,species,aihualama_1,aihualama_2,aihualama_3,aihualama_4,total_reads,total_reads
Acalitus vaccinii,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus vaccinii,0,103,3,32,138,0.137%
Acaridae,Arachnida,Sarcoptiformes,Acaridae,NA,NA,0,49,0,0,49,0.049%
Acleris,Insecta,Lepidoptera,Tortricidae,Acleris,NA,8,0,0,0,8,0.008%
Aeolocoelotes,Arachnida,Araneae,Agelenidae,Aeolocoelotes,NA,0,0,2,5,7,0.007%
Agaonidae,Insecta,Hymenoptera,Agaonidae,NA,NA,3,0,0,0,3,0.003%
Agromyzidae sp. BBDCN049-10,Insecta,Diptera,Agromyzidae,NA,Agromyzidae sp. BBDCN049-10,0,0,18,0,18,0.018%
Allobracon sp.,Insecta,Hymenoptera,Braconidae,Allobracon,Allobracon sp.,12,0,9,4,25,0.025%
Amphientomidae sp.,Insecta,Psocoptera,Amphientomidae,NA,Amphientomidae sp.,0,1423,2205,10289,13917,13.809%
Aphelopus atratus,Insecta,Hymenoptera,Dryinidae,Aphelopus,Aphelopus atratus,0,0,0,2,2,0.002%
Apis mellifera,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,0,0,0,59,59,0.059%
Apochthonius sp.,Arachnida,Pseudoscorpiones,Chthoniidae,Apochthonius,Apochthonius sp.,0,0,0,58,58,0.058%
Arachnida,Arachnida,NA,NA,NA,NA,79,116,100,99,394,0.391%
Arachnis,Insecta,Lepidoptera,Erebidae,Arachnis,NA,0,0,0,17,17,0.017%
Araneae,Arachnida,Araneae,NA,NA,NA,166,10,2,2,180,0.179%
Argyrotaenia,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,NA,0,0,5,0,5,0.005%
Armadillidae,Malacostraca,Isopoda,Armadillidae,NA,NA,0,61,0,0,61,0.061%
Arthropoda,NA,NA,NA,NA,NA,1314,2109,3342,1411,8176,8.113%
Asellidae,Malacostraca,Isopoda,Asellidae,NA,NA,0,0,0,3,3,0.003%
Astacus colchicus,Malacostraca,Decapoda,Astacidae,Astacus,Astacus colchicus,0,0,15,0,15,0.015%
Austrarchaea,Arachnida,Araneae,Archaeidae,Austrarchaea,NA,0,4,0,0,4,0.004%
Baetis,Insecta,Ephemeroptera,Baetidae,Baetis,NA,0,0,0,4,4,0.004%
Baetis tricaudatus,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis tricaudatus,0,54,0,0,54,0.054%
Balanidae,Thecostraca,Balanomorpha,Balanidae,NA,NA,0,0,0,17,17,0.017%
Bemisia euphorbiae,Insecta,Hemiptera,Aleyrodidae,Bemisia,Bemisia euphorbiae,0,0,0,13,13,0.013%
Blattodea,Insecta,Blattodea,NA,NA,NA,0,0,3,0,3,0.003%
Brachyrhynchus membranaceus,Insecta,Hemiptera,Aradidae,Brachyrhynchus,Brachyrhynchus membranaceus,0,0,7,28,35,0.035%
Brachytarsina sp. E GC-2023a,Insecta,Diptera,Streblidae,Brachytarsina,Brachytarsina sp. E GC-2023a,38,8,0,0,46,0.046%
Braconidae,Insecta,Hymenoptera,Braconidae,NA,NA,0,0,0,18,18,0.018%
Branchiopoda,Branchiopoda,NA,NA,NA,NA,0,0,0,8,8,0.008%
Brevipalpus papayensis,Arachnida,Trombidiformes,Tenuipalpidae,Brevipalpus,Brevipalpus papayensis,0,357,0,0,357,0.354%
Brevulacus reticulatus,Arachnida,Trombidiformes,Diptilomiopidae,Brevulacus,Brevulacus reticulatus,0,0,5,0,5,0.005%
Burmoniscus dasystylus,Malacostraca,Isopoda,Philosciidae,Burmoniscus,Burmoniscus dasystylus,195,9,0,0,204,0.202%
Bystus,Insecta,Coleoptera,Endomychidae,Bystus,NA,0,26,0,4,30,0.030%
Cambalopsidae,Diplopoda,Spirostreptida,Cambalopsidae,NA,NA,0,0,11,0,11,0.011%
Carabodidae,Arachnida,Sarcoptiformes,Carabodidae,NA,NA,14,0,0,0,14,0.014%
Carabodidae sp. BIOUG24219-G04,Arachnida,Sarcoptiformes,Carabodidae,NA,Carabodidae sp. BIOUG24219-G04,0,0,0,2,2,0.002%
Cecidomyiidae,Insecta,Diptera,Cecidomyiidae,NA,NA,24,10,0,236,270,0.268%
Cecidomyiidae sp. SSPAC461-13,Insecta,Diptera,Cecidomyiidae,NA,Cecidomyiidae sp. SSPAC461-13,0,0,4,4,8,0.008%
Ceratopogonidae,Insecta,Diptera,Ceratopogonidae,NA,NA,0,0,0,5,5,0.005%
Ceratopogonidae sp.,Insecta,Diptera,Ceratopogonidae,NA,Ceratopogonidae sp.,0,21,0,0,21,0.021%
Ceratopogonidae sp. sc_07781,Insecta,Diptera,Ceratopogonidae,NA,Ceratopogonidae sp. sc_07781,0,47,0,0,47,0.047%
Chironomidae,Insecta,Diptera,Chironomidae,NA,NA,0,0,0,9,9,0.009%
Chrysobothris sp. CA14_31.01,Insecta,Coleoptera,Buprestidae,Chrysobothris,Chrysobothris sp. CA14_31.01,8,0,0,0,8,0.008%
Coenobitidae,Malacostraca,Decapoda,Coenobitidae,NA,NA,66,11,4,27,108,0.107%
Coleoptera,Insecta,Coleoptera,NA,NA,NA,269,5978,2107,35831,44185,43.843%
Coleosoma floridanum,Arachnida,Araneae,Theridiidae,Coleosoma,Coleosoma floridanum,0,0,0,3,3,0.003%
Collembola,Collembola,NA,NA,NA,NA,0,5,123,49,177,0.176%
Corylophidae,Insecta,Coleoptera,Corylophidae,NA,NA,0,0,7,0,7,0.007%
Corynoneura sp. BOLD-2016,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BOLD-2016,0,21,0,0,21,0.021%
Crabronidae,Insecta,Hymenoptera,Crabronidae,NA,NA,11,0,27,0,38,0.038%
Cryptopidae,Chilopoda,Scolopendromorpha,Cryptopidae,NA,NA,0,0,0,8,8,0.008%
Cumacea,Malacostraca,Cumacea,NA,NA,NA,6,49,0,13,68,0.067%
Curculionidae,Insecta,Coleoptera,Curculionidae,NA,NA,0,0,0,4,4,0.004%
Cyclopoida,Hexanauplia,Cyclopoida,NA,NA,NA,0,24,0,0,24,0.024%
Cyclotrachelus,Insecta,Coleoptera,Carabidae,Cyclotrachelus,NA,0,0,4,0,4,0.004%
Decapoda,Malacostraca,Decapoda,NA,NA,NA,48,0,29,64,141,0.140%
Depressariidae,Insecta,Lepidoptera,Depressariidae,NA,NA,0,0,0,17,17,0.017%
Dermacentor albipictus,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor albipictus,0,0,13,2,15,0.015%
Diapriidae,Insecta,Hymenoptera,Diapriidae,NA,NA,6,0,0,0,6,0.006%
Diapriidae sp. BOLD-2016,Insecta,Hymenoptera,Diapriidae,NA,Diapriidae sp. BOLD-2016,0,0,39,0,39,0.039%
Dichaetophora cyanea,Insecta,Diptera,Drosophilidae,Dichaetophora,Dichaetophora cyanea,8,0,0,0,8,0.008%
Diplopoda,Diplopoda,NA,NA,NA,NA,0,30,0,0,30,0.030%
Diptera,Insecta,Diptera,NA,NA,NA,36,11,2026,81,2154,2.137%
Doryctinae sp. BOLD-2016,Insecta,Hymenoptera,Braconidae,NA,Doryctinae sp. BOLD-2016,0,10,0,0,10,0.010%
Drosophilidae,Insecta,Diptera,Drosophilidae,NA,NA,0,15,9,0,24,0.024%
Elachistidae,Insecta,Lepidoptera,Elachistidae,NA,NA,2,0,0,0,2,0.002%
Entomobryidae,Collembola,Entomobryomorpha,Entomobryidae,NA,NA,6643,3084,1417,1280,12424,12.328%
Entomobryidae sp. 3 PMP-2017,Collembola,Entomobryomorpha,Entomobryidae,NA,Entomobryidae sp. 3 PMP-2017,5,0,0,0,5,0.005%
Entomobryidae sp. sc_04935,Collembola,Entomobryomorpha,Entomobryidae,NA,Entomobryidae sp. sc_04935,339,271,370,103,1083,1.075%
Euwallacea,Insecta,Coleoptera,Curculionidae,Euwallacea,NA,0,0,8,0,8,0.008%
Formicidae,Insecta,Hymenoptera,Formicidae,NA,NA,9,0,0,8,17,0.017%
Frankliniella invasor,Insecta,Thysanoptera,Thripidae,Frankliniella,Frankliniella invasor,0,0,0,16,16,0.016%
Gammaridae,Malacostraca,Amphipoda,Gammaridae,NA,NA,0,0,0,27,27,0.027%
Gedea cf. tibialis UBC SEM M.Bodner MRB090,Arachnida,Araneae,Salticidae,Gedea,Gedea cf. tibialis UBC SEM M.Bodner MRB090,0,0,21,0,21,0.021%
Geogarypus longidigitatus,Arachnida,Pseudoscorpiones,Geogarypidae,Geogarypus,Geogarypus longidigitatus,0,0,0,10,10,0.010%
Glomerida,Diplopoda,Glomerida,NA,NA,NA,0,0,0,2,2,0.002%
Haplozetidae,Arachnida,Sarcoptiformes,Haplozetidae,NA,NA,0,0,3,0,3,0.003%
Harpacticoida,Hexanauplia,Harpacticoida,NA,NA,NA,5,0,0,0,5,0.005%
Harpacticoida sp. 10BIOBC-01226,Hexanauplia,Harpacticoida,NA,NA,Harpacticoida sp. 10BIOBC-01226,3,5,5,0,13,0.013%
Hemiptera,Insecta,Hemiptera,NA,NA,NA,35,0,25,43,103,0.102%
Hemitrichapion reflexum,Insecta,Coleoptera,Apionidae,Hemitrichapion,Hemitrichapion reflexum,0,0,0,63,63,0.063%
Hexanauplia sp.,Hexanauplia,NA,NA,NA,Hexanauplia sp.,0,0,0,10,10,0.010%
Holothrips sp. TH93,Insecta,Thysanoptera,Phlaeothripidae,Holothrips,Holothrips sp. TH93,0,0,11,9,20,0.020%
Hyalidae,Malacostraca,Amphipoda,Hyalidae,NA,NA,0,2,0,0,2,0.002%
Hydroporus sp. IBE<ESP> AV45,Insecta,Coleoptera,Dytiscidae,Hydroporus,Hydroporus sp. IBE<ESP> AV45,0,0,0,4,4,0.004%
Hymenoptera,Insecta,Hymenoptera,NA,NA,NA,42,28,10,5,85,0.084%
Hyposmocoma,Insecta,Lepidoptera,Cosmopterigidae,Hyposmocoma,NA,8,0,11,8,27,0.027%
Hyposmocoma saccophora,Insecta,Lepidoptera,Cosmopterigidae,Hyposmocoma,Hyposmocoma saccophora,0,0,95,0,95,0.094%
Hypothenemus sp.,Insecta,Coleoptera,Curculionidae,Hypothenemus,Hypothenemus sp.,448,0,15,0,463,0.459%
Hypothyris cantobrica,Insecta,Lepidoptera,Nymphalidae,Hypothyris,Hypothyris cantobrica,10,0,0,0,10,0.010%
Ichneumonidae,Insecta,Hymenoptera,Ichneumonidae,NA,NA,0,0,0,7,7,0.007%
Indoapseudes bamberi,Malacostraca,Tanaidacea,Pagurapseudidae,Indoapseudes,Indoapseudes bamberi,61,0,0,0,61,0.061%
Insecta,Insecta,NA,NA,NA,NA,285,352,705,135,1477,1.466%
Isopoda,Malacostraca,Isopoda,NA,NA,NA,0,8,0,0,8,0.008%
Isotes sp. JJG145,Insecta,Coleoptera,Chrysomelidae,Isotes,Isotes sp. JJG145,0,3,0,0,3,0.003%
Isotomidae,Collembola,Entomobryomorpha,Isotomidae,NA,NA,0,0,0,11,11,0.011%
Japygidae sp.,NA,Diplura,Japygidae,NA,Japygidae sp.,15,0,0,0,15,0.015%
Labiobaetis kui,Insecta,Ephemeroptera,Baetidae,Labiobaetis,Labiobaetis kui,0,0,0,17,17,0.017%
Lasionectes exleyi,Remipedia,Nectiopoda,Speleonectidae,Lasionectes,Lasionectes exleyi,0,4,0,0,4,0.004%
Latrodectus,Arachnida,Araneae,Theridiidae,Latrodectus,NA,0,0,8,0,8,0.008%
Lepidoptera,Insecta,Lepidoptera,NA,NA,NA,106,14,30,6,156,0.155%
Lepidostomatidae,Insecta,Trichoptera,Lepidostomatidae,NA,NA,0,0,41,0,41,0.041%
Longileptoneta jangseongensis,Arachnida,Araneae,Leptonetidae,Longileptoneta,Longileptoneta jangseongensis,0,0,4,0,4,0.004%
Loxosceles sp. Gran Canaria 2,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles sp. Gran Canaria 2,0,0,24,0,24,0.024%
Macrocyclops,Hexanauplia,Cyclopoida,Cyclopidae,Macrocyclops,NA,0,0,0,7,7,0.007%
Macrothrix sp. HE-364,Branchiopoda,Diplostraca,Macrotrichidae,Macrothrix,Macrothrix sp. HE-364,0,49,7,0,56,0.056%
Magdalis,Insecta,Coleoptera,Curculionidae,Magdalis,NA,0,15,0,0,15,0.015%
Malacostraca,Malacostraca,NA,NA,NA,NA,0,0,234,0,234,0.232%
Megalomyrmex sp. AEV4231,Insecta,Hymenoptera,Formicidae,Megalomyrmex,Megalomyrmex sp. AEV4231,0,3,0,0,3,0.003%
Metrichia amplitudinis,Insecta,Trichoptera,Hydroptilidae,Metrichia,Metrichia amplitudinis,0,4,0,0,4,0.004%
Microcreagrinae sp. UAIC<USA-AZ> 1113014,Arachnida,Pseudoscorpiones,Neobisiidae,NA,Microcreagrinae sp. UAIC<USA-AZ> 1113014,2,0,0,0,2,0.002%
Microdeutopus sp. SFC34-003,Malacostraca,Amphipoda,Aoridae,Microdeutopus,Microdeutopus sp. SFC34-003,21,0,0,0,21,0.021%
Mitopus morio,Arachnida,Opiliones,Phalangiidae,Mitopus,Mitopus morio,0,7,4,3,14,0.014%
Mutillidae,Insecta,Hymenoptera,Mutillidae,NA,NA,0,0,0,35,35,0.035%
Myrsidea seminuda,Insecta,Phthiraptera,Menoponidae,Myrsidea,Myrsidea seminuda,0,0,0,4,4,0.004%
Nannastacidae,Malacostraca,Cumacea,Nannastacidae,NA,NA,0,48,0,0,48,0.048%
Neanuridae,Collembola,Poduromorpha,Neanuridae,NA,NA,0,0,14,0,14,0.014%
Nitidulidae sp. BOLD:AAU6932,Insecta,Coleoptera,Nitidulidae,NA,Nitidulidae sp. BOLD:AAU6932,0,28,0,0,28,0.028%
Noctuidae,Insecta,Lepidoptera,Noctuidae,NA,NA,0,0,0,13,13,0.013%
Nuncia,Arachnida,Opiliones,Triaenonychidae,Nuncia,NA,0,0,26,0,26,0.026%
Nurudea,Insecta,Hemiptera,Aphididae,Nurudea,NA,0,60,3022,0,3082,3.058%
Opius sp.,Insecta,Hymenoptera,Braconidae,Opius,Opius sp.,0,3,0,0,3,0.003%
Orconectes barri,Malacostraca,Decapoda,Cambaridae,Orconectes,Orconectes barri,0,4,0,0,4,0.004%
Orthoptera,Insecta,Orthoptera,NA,NA,NA,23,31,257,9,320,0.318%
Pachyta quadrimaculata,Insecta,Coleoptera,Cerambycidae,Pachyta,Pachyta quadrimaculata,0,0,28,45,73,0.072%
Parachtes,Arachnida,Araneae,Dysderidae,Parachtes,NA,2,0,0,2,4,0.004%
Paraspirobolus lucifugus,Diplopoda,Spirobolida,Spirobolellidae,Paraspirobolus,Paraspirobolus lucifugus,0,21,0,0,21,0.021%
Parisotoma,Collembola,Entomobryomorpha,Isotomidae,Parisotoma,NA,0,0,2,0,2,0.002%
Patawatermes sp. A TB-2017,Insecta,Blattodea,Termitidae,Patawatermes,Patawatermes sp. A TB-2017,0,142,0,0,142,0.141%
Pealius,Insecta,Hemiptera,Aleyrodidae,Pealius,NA,0,49,0,0,49,0.049%
Penaeidae,Malacostraca,Decapoda,Penaeidae,NA,NA,0,0,0,4,4,0.004%
Perilitus,Insecta,Hymenoptera,Braconidae,Perilitus,NA,0,5,0,0,5,0.005%
Peripsocus,Insecta,Psocoptera,Peripsocidae,Peripsocus,NA,0,0,18,0,18,0.018%
Pheidole,Insecta,Hymenoptera,Formicidae,Pheidole,NA,0,0,0,9,9,0.009%
Physocyclus validus,Arachnida,Araneae,Pholcidae,Physocyclus,Physocyclus validus,0,0,0,15,15,0.015%
Planococcus lilacinus,Insecta,Hemiptera,Pseudococcidae,Planococcus,Planococcus lilacinus,0,34,47,0,81,0.080%
Podocopida,Ostracoda,Podocopida,NA,NA,NA,17,0,4,0,21,0.021%
Polypedilum convictum,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum convictum,0,0,0,19,19,0.019%
Protura sp.,Protura,NA,NA,NA,Protura sp.,0,0,0,2,2,0.002%
Pseudoniphargus brevipedunculatus,Malacostraca,Amphipoda,Allocrangonyctidae,Pseudoniphargus,Pseudoniphargus brevipedunculatus,0,0,0,10,10,0.010%
Ptiliidae sp. BOLD-2016,Insecta,Coleoptera,Ptiliidae,NA,Ptiliidae sp. BOLD-2016,118,0,0,312,430,0.427%
Raphiocera ornata,Insecta,Diptera,Stratiomyidae,Raphiocera,Raphiocera ornata,0,0,4,14,18,0.018%
Rubrocuneocoris calvertae,Insecta,Hemiptera,Miridae,Rubrocuneocoris,Rubrocuneocoris calvertae,0,0,0,1464,1464,1.453%
Sarcoptiformes,Arachnida,Sarcoptiformes,NA,NA,NA,3,977,15,17,1012,1.004%
Scheloribates,Arachnida,Sarcoptiformes,Scheloribatidae,Scheloribates,NA,0,117,0,0,117,0.116%
Sciaridae,Insecta,Diptera,Sciaridae,NA,NA,20,0,0,3,23,0.023%
Sciaridae sp.,Insecta,Diptera,Sciaridae,NA,Sciaridae sp.,21,0,0,0,21,0.021%
Sclerobunus robustus,Arachnida,Opiliones,Paranonychidae,Sclerobunus,Sclerobunus robustus,0,4,0,46,50,0.050%
Scorpiones,Arachnida,Scorpiones,NA,NA,NA,36,0,0,0,36,0.036%
Serratella,Insecta,Ephemeroptera,Ephemerellidae,Serratella,NA,0,13,0,0,13,0.013%
Simulium,Insecta,Diptera,Simuliidae,Simulium,NA,0,0,2,0,2,0.002%
Sirthenea nitida,Insecta,Hemiptera,Reduviidae,Sirthenea,Sirthenea nitida,0,3,0,0,3,0.003%
Solenopsis mameti,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis mameti,0,0,49,3888,3937,3.907%
Sophonia orientalis,Insecta,Hemiptera,Cicadellidae,Sophonia,Sophonia orientalis,0,0,3,0,3,0.003%
Spherillo,Malacostraca,Isopoda,Armadillidae,Spherillo,NA,0,326,241,0,567,0.563%
Spirobolida,Diplopoda,Spirobolida,NA,NA,NA,0,0,5,0,5,0.005%
Staphylinidae,Insecta,Coleoptera,Staphylinidae,NA,NA,0,6,0,0,6,0.006%
Staphylinidae sp. sc_03851,Insecta,Coleoptera,Staphylinidae,NA,Staphylinidae sp. sc_03851,0,0,0,38,38,0.038%
Sweltsa,Insecta,Plecoptera,Chloroperlidae,Sweltsa,NA,0,0,0,13,13,0.013%
Synalpheus digueti complex sp. D KMH-2014,Malacostraca,Decapoda,Alpheidae,Synalpheus,Synalpheus digueti complex sp. D KMH-2014,0,0,0,17,17,0.017%
Synopeas,Insecta,Hymenoptera,Platygastridae,Synopeas,NA,0,3,0,0,3,0.003%
Technomyrmex vitiensis,Insecta,Hymenoptera,Formicidae,Technomyrmex,Technomyrmex vitiensis,0,0,0,4,4,0.004%
Tegolophus oblatus,Arachnida,Trombidiformes,Eriophyidae,Tegolophus,Tegolophus oblatus,46,0,36,125,207,0.205%
Temnoplectron,Insecta,Coleoptera,Scarabaeidae,Temnoplectron,NA,0,0,0,16,16,0.016%
Tetraclita serrata,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,Tetraclita serrata,0,0,5,11,16,0.016%
Tettigoniidae sp. sc_02543,Insecta,Orthoptera,Tettigoniidae,NA,Tettigoniidae sp. sc_02543,0,11,0,0,11,0.011%
Theopompa,Insecta,Mantodea,Gonypetidae,Theopompa,NA,7,19,0,0,26,0.026%
Theraphosidae,Arachnida,Araneae,Theraphosidae,NA,NA,0,0,0,25,25,0.025%
Theridiidae,Arachnida,Araneae,Theridiidae,NA,NA,0,0,0,13,13,0.013%
Timema bartmani,Insecta,Phasmatodea,Timematidae,Timema,Timema bartmani,0,25,0,4,29,0.029%
Troglarmadillo sp. WAM-TRGL001,Malacostraca,Isopoda,Armadillidae,Troglarmadillo,Troglarmadillo sp. WAM-TRGL001,0,59,0,0,59,0.059%
Trombidiformes,Arachnida,Trombidiformes,NA,NA,NA,5,99,0,0,104,0.103%
Vitronura macgillivrayi,Collembola,Poduromorpha,Neanuridae,Vitronura,Vitronura macgillivrayi,0,0,0,15,15,0.015%
Wyeomyia,Insecta,Diptera,Culicidae,Wyeomyia,NA,0,258,0,0,258,0.256%
Xyleborinus saxesenii,Insecta,Coleoptera,Curculionidae,Xyleborinus,Xyleborinus saxesenii,0,0,3,3,6,0.006%
Xyleborus,Insecta,Coleoptera,Curculionidae,Xyleborus,NA,0,0,15,0,15,0.015%
Zale declarans,Insecta,Lepidoptera,Erebidae,Zale,Zale declarans,0,0,7,0,7,0.007%
Zethus angulatus,Insecta,Hymenoptera,Vespidae,Zethus,Zethus angulatus,5,0,0,0,5,0.005%
Zoosphaerium sp. 4 TW-2021,Diplopoda,Sphaerotheriida,Sphaerotheriidae,Zoosphaerium,Zoosphaerium sp. 4 TW-2021,0,0,4,0,4,0.004%